id,frame,idv_type,v,acc,x,lane_index,vehicle_sum,p_vehicle_sum
17,64,truck219,27.7841,-0.0039,410.7553,1,6,0
12,64,car49,37.7672,0.0628,1274.9037,1,6,0
18,64,car71,37.2162,-0.1258,482.1482,2,6,0
16,64,car374,36.6589,-0.0156,769.5347,2,6,0
9,64,car331,45.5372,-0.0044,2705.5265,2,6,0
20,65,car60,35.1609,1.462,72.0062,1,6,0
17,65,truck219,27.7602,-0.0692,438.5288,1,6,0
12,65,car49,37.7645,0.0326,1312.6649,1,6,0
18,65,car71,37.1465,-0.0255,519.3205,2,6,0
16,65,car374,36.5916,-0.0673,806.1625,2,6,0
9,65,car331,45.5192,-0.0406,2751.0579,2,6,0
20,66,car60,36.4527,1.1428,108.0105,1,6,0
17,66,truck219,27.7147,-0.0011,466.2568,1,6,0
12,66,car49,37.7831,-0.0124,1350.4402,1,6,0
18,66,car71,37.18,-0.0195,556.4898,2,6,0
16,66,car374,36.6055,0.038,842.7609,2,6,0
9,66,car331,45.5061,-0.0733,2796.5644,2,6,0
20,67,car60,37.4238,0.8416,145.0999,1,6,0
17,67,truck219,27.7794,0.1079,494.0045,1,6,0
12,67,car49,37.7819,0.0146,1388.2177,1,6,0
18,67,car71,37.2144,0.0041,593.6956,2,6,0
16,67,car374,36.5557,-0.0529,879.3429,2,6,0
9,67,car331,45.5036,-0.0506,2842.0783,2,6,0
20,68,car60,38.0158,0.3524,182.9371,1,6,0
17,68,truck219,27.8037,-0.0397,521.814,1,6,0
12,68,car49,37.6757,-0.0832,1425.9369,1,6,0
18,68,car71,37.2621,0.0796,630.9349,2,6,0
16,68,car374,36.529,-0.0236,915.8829,2,6,0
9,68,car331,45.4259,-0.1829,2887.5514,2,6,0
20,69,car60,38.3792,0.3685,221.1879,1,6,0
17,69,truck219,27.8089,-0.0155,549.6275,1,6,0
12,69,car49,37.7299,0.1279,1463.6361,1,6,0
18,69,car71,37.4091,-0.0262,668.3005,2,6,0
16,69,car374,36.5335,-0.0319,952.4227,2,6,0
9,69,car331,45.4008,0.1268,2932.9262,2,6,0
20,70,car60,38.8011,0.267,259.8452,1,6,0
17,70,truck219,27.7784,-0.0211,577.4123,1,6,0
12,70,car49,37.7941,0.0272,1501.4132,1,6,0
18,70,car71,37.4032,-0.0489,705.6916,2,6,0
16,70,car374,36.4711,-0.1184,988.9298,2,6,0
9,70,car331,45.5189,-0.0771,2978.4199,2,6,0
20,71,car60,39.0699,0.2286,298.8304,1,6,0
17,71,truck219,27.8079,0.0691,605.2063,1,6,0
12,71,car49,37.7588,-0.0539,1539.1896,1,6,0
18,71,car71,37.4166,-0.1677,743.1196,2,6,0
16,71,car374,36.3183,-0.1271,1025.3044,2,6,0
9,71,car331,45.5249,-0.0291,3023.9518,2,6,0
23,72,truck228,24.8305,0.2502,40.2363,1,7,0
20,72,car60,39.2347,0.1415,338.0165,1,7,0
17,72,truck219,27.786,-0.0668,633.0033,1,7,0
12,72,car49,37.6142,-0.1866,1576.86,1,7,0
18,72,car71,37.4232,0.1516,780.5167,2,7,0
16,72,car374,36.0928,-0.2826,1061.4914,2,7,0
9,72,car331,45.4956,-0.0382,3069.4645,2,7,0
23,73,truck228,25.0633,0.2162,65.2171,1,7,0
20,73,car60,39.3495,0.1403,377.3295,1,7,0
17,73,truck219,27.7799,0.0157,660.7786,1,7,0
12,73,car49,37.3367,-0.2643,1614.2946,1,7,0
18,73,car71,37.4134,0.1993,817.9076,2,7,0
16,73,car374,36.0006,0.1445,1097.4823,2,7,0
9,73,car331,45.5207,0.0879,3114.9702,2,7,0
23,74,truck228,25.3131,0.2787,90.4318,1,8,0
20,74,car60,39.5675,0.1153,416.824,1,8,0
17,74,truck219,27.7934,-0.0408,688.5701,1,8,0
12,74,car49,37.1773,-0.1707,1651.5326,1,8,0
