id,frame,idv_type,v,acc,x,lane_index,vehicle_sum,p_vehicle_sum
d2_15,46,truck63,25.9712,0.1153,215.369,2,6,0
d2_14,46,car228,40.4312,0.4315,385.5004,2,6,0
d2_13,46,car60,40.0201,-0.0615,578.6246,2,6,0
d2_11,46,car219,36.8162,-0.0865,1090.9934,2,6,0
d2_10,46,car374,36.6449,-0.0252,1210.2629,2,6,0
d2_8,46,car331,44.9246,-0.0046,1930.2197,2,6,0
d2_15,47,truck63,26.0716,0.0828,241.4065,2,6,0
d2_14,47,car228,40.7367,0.3588,426.1183,2,6,0
d2_13,47,car60,40.0331,-0.0324,618.663,2,6,0
d2_11,47,car219,36.7126,0.0124,1127.7366,2,6,0
d2_10,47,car374,36.6298,0.1086,1246.8834,2,6,0
d2_8,47,car331,44.9321,-0.0233,1975.1435,2,6,0
d2_15,48,truck63,26.1906,0.1154,267.5536,2,6,0
d2_14,48,car228,41.0798,0.4001,467.0546,2,6,0
d2_13,48,car60,40.0034,-0.0984,658.6802,2,6,0
d2_11,48,car219,37.0391,0.1655,1164.655,2,6,0
d2_10,48,car374,36.6073,0.077,1283.5004,2,6,0
d2_8,48,car331,45.0428,0.2116,2020.126,2,6,0
d2_15,49,truck63,26.323,0.0958,293.8311,2,6,0
d2_14,49,car228,41.7223,0.6831,508.5255,2,6,0
d2_13,49,car60,39.9422,-0.1103,698.6411,2,6,0
d2_11,49,car219,37.1019,0.1842,1201.7198,2,6,0
d2_10,49,car374,36.6327,0.0253,1320.1287,2,6,0
d2_8,49,car331,45.276,0.257,2065.3068,2,6,0
d2_15,50,truck63,26.4219,0.1089,320.2136,2,6,0
d2_14,50,car228,42.2332,0.4704,550.5688,2,6,0
d2_13,50,car60,39.8927,-0.0966,738.55,2,6,0
d2_11,50,car219,37.0692,-0.0227,1238.7951,2,6,0
d2_10,50,car374,36.6111,-0.1614,1356.766,2,6,0
d2_8,50,car331,45.3788,-0.011,2110.6752,2,6,0
d2_15,51,truck63,26.451,0.003,346.6623,2,6,0
d2_14,51,car228,42.7445,0.52,593.113,2,6,0
d2_13,51,car60,39.7549,-0.2359,778.3676,2,6,0
d2_11,51,car219,36.9919,0.0134,1275.8162,2,6,0
d2_10,51,car374,36.6192,-0.0625,1393.391,2,6,0
d2_8,51,car331,45.3015,-0.114,2156.0156,2,6,0
d2_15,52,truck63,26.4604,-0.0245,373.1238,2,6,0
d2_14,52,car228,42.7879,-0.126,635.9177,2,6,0
d2_13,52,car60,39.6129,-0.1715,818.0347,2,6,0
d2_11,52,car219,36.9187,0.0307,1312.742,2,6,0
d2_10,52,car374,36.6318,-0.0183,1430.0333,2,6,0
d2_8,52,car331,45.2379,-0.0311,2201.2704,2,6,0
d2_15,53,truck63,26.4995,0.1172,399.5932,2,6,0
d2_14,53,car228,42.7224,-0.0328,678.6562,2,6,0
d2_13,53,car60,39.3828,-0.1653,857.4972,2,6,0
d2_11,53,car219,36.7901,0.0624,1349.5608,2,6,0
d2_10,53,car374,36.6301,-0.0771,1466.6895,2,6,0
d2_8,53,car331,45.1944,-0.0681,2246.4816,2,6,0
d2_19,54,truck698,24.5004,0.4288,39.9273,2,7,0
d2_15,54,truck63,26.5863,0.0431,426.153,2,7,0
d2_14,54,car228,42.6959,-0.1269,721.3847,2,7,0
d2_13,54,car60,39.1058,-0.1715,896.6935,2,7,0
d2_11,54,car219,36.6934,-0.2224,1386.3199,2,7,0
d2_10,54,car374,36.4256,-0.2352,1503.206,2,7,0
d2_8,54,car331,45.0544,-0.1315,2291.5909,2,7,0
d2_19,55,truck698,24.898,0.4272,64.6721,2,7,0
d2_15,55,truck63,26.657,0.0839,452.7813,2,7,0
d2_14,55,car228,42.5338,-0.3025,764.0002,2,7,0
d2_13,55,car60,38.8696,-0.2253,935.6565,2,7,0
d2_11,55,car219,36.4612,-0.0836,1422.8294,2,7,0
d2_10,55,car374,36.1592,-0.2678,1539.4694,2,7,0
d2_8,55,car331,45.0578,0.026,2336.6444,2,7,0
d2_19,56,truck698,25.2208,0.2885,89.7817,2,7,0
d2_15,56,truck63,26.7597,0.0919,479.5028,2,7,0
d2_14,56,car228,42.1413,-0.2784,806.2778,2,7,0
d2_13,56,car60,38.81,0.1008,974.4627,2,7,0
d2_11,56,car219,36.6082,0.184,1459.3691,2,7,0
d2_10,56,car374,36.1241,0.0961,1575.5754,2,7,0
d2_8,56,car331,45.1765,0.0667,2381.783,2,7,0
d2_19,57,truck698,25.5023,0.2612,115.1819,2,7,0
d2_15,57,truck63,26.7945,0.0174,506.2916,2,7,0
d2_14,57,car228,42.1008,0.2169,848.3453,2,7,0
d2_13,57,car60,38.9852,0.2398,1013.3686,2,7,0
d2_11,57,car219,36.658,-0.1187,1496.0336,2,7,0
d2_10,57,car374,36.3488,0.2415,1611.8368,2,7,0
d2_8,57,car331,45.2022,0.0815,2426.9745,2,7,0
d2_19,58,truck698,25.7802,0.2293,140.8659,2,7,0
d2_15,58,truck63,26.8215,0.0433,533.1011,2,7,0
d2_14,58,car228,42.3163,0.1568,890.5874,2,7,0
d2_13,58,car60,39.238,0.2248,1052.5157,2,7,0
d2_11,58,car219,36.5901,-0.0634,1532.6403,2,7,0
d2_10,58,car374,36.4803,0.0578,1648.2841,2,7,0
d2_8,58,car331,45.2751,0.1151,2472.2128,2,7,0
d2_19,59,truck698,25.9667,0.2222,166.7623,2,7,0
d2_15,59,truck63,26.8263,0.023,559.9245,2,7,0
d2_14,59,car228,42.3491,0.0173,932.9225,2,7,0
d2_13,59,car60,39.4601,0.2071,1091.8948,2,7,0
d2_11,59,car219,36.5617,-0.0477,1569.2251,2,7,0
d2_10,59,car374,36.5539,0.0365,1684.8176,2,7,0
d2_8,59,car331,45.3306,-0.0297,2517.5349,2,7,0
d2_19,60,truck698,26.1386,0.1733,192.8375,2,7,0
d2_15,60,truck63,26.8096,0.003,586.735,2,7,0
d2_14,60,car228,42.2654,-0.0706,975.23,2,7,0
d2_13,60,car60,39.4356,-0.1412,1131.3593,2,7,0
d2_11,60,car219,36.3981,-0.1796,1605.6915,2,7,0
d2_10,60,car374,36.5309,-0.0512,1721.3553,2,7,0
d2_8,60,car331,45.2482,-0.1308,2562.8272,2,7,0
d2_19,61,truck698,26.2861,0.1273,219.0734,2,7,0
d2_15,61,truck63,26.8192,-0.0119,613.555,2,7,0
d2_14,61,car228,42.2833,-0.026,1017.5108,2,7,0
d2_13,61,car60,39.313,-0.1719,1170.7203,2,7,0
d2_11,61,car219,36.2176,-0.0988,1641.9741,2,7,0
d2_10,61,car374,36.5971,-0.0123,1757.9277,2,7,0
d2_8,61,car331,45.1249,-0.0704,2607.9845,2,7,0
d2_19,62,truck698,26.3964,0.1162,245.4267,2,7,0
d2_15,62,truck63,26.8433,0.0319,640.3888,2,7,0
d2_14,62,car228,42.336,0.0479,1059.8221,2,7,0
d2_13,62,car60,39.1509,-0.1037,1209.9315,2,7,0
d2_11,62,car219,36.1041,-0.1142,1678.121,2,7,0
d2_10,62,car374,36.5407,0.0301,1794.4781,2,7,0
d2_8,62,car331,45.0892,0.0595,2653.076,2,7,0
d2_19,63,truck698,26.5,0.1254,271.8877,2,7,0
d2_15,63,truck63,26.8635,-0.0111,667.2472,2,7,0
d2_14,63,car228,42.4432,0.1936,1102.2099,2,7,0
d2_13,63,car60,39.1098,-0.0184,1249.0431,2,7,0
d2_11,63,car219,35.8269,-0.2095,1714.0488,2,7,0
d2_10,63,car374,36.5617,-0.1689,1831.0686,2,7,0
d2_8,63,car331,45.1612,0.049,2698.2077,2,7,0
d2_19,64,truck698,26.6361,0.1256,298.4737,2,7,0
d2_15,64,truck63,26.8592,-0.0008,694.1107,2,7,0
d2_14,64,car228,42.6039,0.1376,1144.7484,2,7,0
d2_13,64,car60,39.1482,0.0592,1288.1677,2,7,0
d2_11,64,car219,35.7824,0.0416,1749.84,2,7,0
d2_10,64,car374,36.5311,-0.0076,1867.6102,2,7,0
d2_8,64,car331,45.1244,-0.1041,2743.3622,2,7,0
d2_19,65,truck698,26.7927,0.1672,325.2059,2,7,0
d2_15,65,truck63,26.8298,-0.0238,720.9531,2,7,0
d2_14,65,car228,42.7867,-0.0392,1187.5184,2,7,0
d2_13,65,car60,39.1105,-0.161,1327.3211,2,7,0
d2_11,65,car219,35.9008,0.0644,1785.694,2,7,0
d2_10,65,car374,36.4232,-0.1341,1904.0904,2,7,0
d2_8,65,car331,45.0014,-0.0785,2788.4019,2,7,0
d2_21,66,truck729,24.476,0.5426,29.4451,2,8,0
d2_19,66,truck698,26.8904,0.1011,352.0609,2,8,0
d2_15,66,truck63,26.8384,0.0466,747.7815,2,8,0
d2_14,66,car228,42.798,0.0477,1230.3134,2,8,0
d2_13,66,car60,39.0547,0.0103,1366.3824,2,8,0
d2_11,66,car219,35.9041,0.1015,1821.6024,2,8,0
