step,vid,lat_ms,ade,fde,acc_0.5m,acc_1.0m,acc_2.0m,prec_0.5m,prec_1.0m,prec_2.0m,gt_frames
867,35,2.45,7.0686,5.4318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
867,40,2.64,8.9612,38.6021,0.0500,0.1000,0.2000,0.0500,0.1000,0.2000,20
871,38,2.61,26.2871,58.5655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
872,36,2.70,131.1424,152.4485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
882,32,2.65,8.6833,23.6734,0.0000,0.0500,0.1000,0.0000,0.0500,0.1000,20
887,39,2.64,8.0229,14.5604,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
888,33,2.64,23.7213,42.2313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
889,27,2.64,119.7745,168.8169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
889,37,2.60,148.3115,237.0452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
890,41,2.62,166.0820,266.0618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
891,34,2.60,15.4009,29.9390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
892,35,2.59,25.2103,39.3454,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
892,40,2.60,10.2789,40.6924,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
894,42,2.61,9.3031,40.1840,0.0500,0.1000,0.2000,0.0500,0.1000,0.2000,20
896,38,2.60,11.6173,14.8594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
899,43,2.64,29.4070,103.9587,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
907,32,2.62,19.4453,51.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
912,39,2.55,8.9954,15.6210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
913,33,2.70,53.1731,86.5711,0.0500,0.1000,0.1500,0.0500,0.1000,0.1500,20
